DATE,UNRATE,GDP,FEDFUNDS,GDPC1,GFDEGDQ188S,JTSQUR,MEDCPIM158SFRBCLE
2001-01-01,4.2,10470.231,5.98,14183.12,55.14434,2.4,4.0764778317574
2001-04-01,4.4,10599.0,4.8,14271.694,54.03165,2.4,3.14463308812682
2001-07-01,4.6,10598.02,3.77,14214.516,54.79763,2.2,2.4350411076885496
2001-10-01,5.3,10660.465,2.49,14253.574,55.75216,2.1,4.18407658200821
2002-01-01,5.7,10783.5,1.73,14372.785,55.6965,2.2,2.7615896715014903
2002-04-01,5.9,10887.46,1.75,14460.848,56.27087,2.0,2.67648214481753
2002-07-01,5.8,10984.04,1.73,14519.633,56.7026,2.0,2.24505523113134
2002-10-01,5.7,11061.433,1.75,14537.58,57.91028,1.9,2.31390307533894
2003-01-01,5.8,11174.129,1.24,14614.141,57.81906,1.9,2.18139042769816
2003-04-01,6.0,11312.766,1.26,14743.567,58.96101,1.8,0.553036890472014
2003-07-01,6.2,11566.669,1.01,14988.782,58.64541,1.7,2.6710731226571096
2003-10-01,6.0,11772.234,1.01,15162.76,59.44466,1.9,2.09586749439761
2004-01-01,5.7,11923.447,1.0,15248.68,59.8071,1.8,2.2200747059839503
2004-04-01,5.6,12112.815,1.0,15366.85,60.05487,1.9,2.5383819269539303
2004-07-01,5.5,12305.307,1.26,15512.619,59.96643,2.0,1.77113695955513
2004-10-01,5.5,12527.214,1.76,15670.88,60.63713,1.9,2.6605010937276203
2005-01-01,5.3,12767.286,2.28,15844.727,60.91302,2.1,3.4217591363454103
2005-04-01,5.2,12922.656,2.79,15922.782,60.64153,2.1,2.09647901335652
2005-07-01,5.0,13142.642,3.26,16047.587,60.35856,2.0,3.0286455734746403
2005-10-01,5.0,13324.204,3.78,16136.734,61.32008,2.1,3.3315751559861897
2006-01-01,4.7,13599.16,4.29,16353.835,61.55642,2.2,2.88432186623886
2006-04-01,4.7,13753.424,4.79,16396.151,61.22142,2.0,2.8870316165126
2006-07-01,4.7,13870.188,5.24,16420.738,61.3328,2.2,3.05393052415284
2006-10-01,4.4,14039.56,5.25,16561.866,61.82689,2.2,3.6506970400157694
2007-01-01,4.6,14215.651,5.25,16611.69,62.25297,2.1,2.9644102631689195
2007-04-01,4.5,14402.082,5.25,16713.314,61.57219,2.1,2.36832536836802
2007-07-01,4.7,14564.117,5.26,16809.587,61.84826,2.1,2.82817098511783
2007-10-01,4.7,14715.058,4.76,16915.191,62.71924,2.1,3.43463052089827
2008-01-01,5.0,14706.538,3.94,16843.003,64.17278,2.1,3.28360527628442
2008-04-01,5.0,14865.701,2.28,16943.291,63.85172,2.1,2.24101388446512
2008-07-01,5.8,14898.999,2.01,16854.295,67.28455,1.8,3.98912873927892
2008-10-01,6.5,14608.209,0.97,16485.35,73.24515,1.7,2.20171024216991
2009-01-01,7.8,14430.902,0.15,16298.262,77.10496,1.5,2.40364062502632
2009-04-01,9.0,14381.236,0.15,16269.145,80.28013,1.3,1.86117019943739
2009-07-01,9.5,14448.882,0.16,16326.281,82.42733,1.3,0.125832513392354
2009-10-01,10.0,14651.249,0.12,16502.754,84.02935,1.3,1.1903654188135
2010-01-01,9.8,14764.61,0.11,16582.71,86.51175,1.3,0.680110845940707
2010-04-01,9.9,14980.193,0.2,16743.162,88.12832,1.5,0.4526162541784729
2010-07-01,9.4,15141.607,0.18,16872.266,89.56528,1.4,0.632305068442718
2010-10-01,9.4,15309.474,0.19,16960.864,91.61134,1.4,1.1260905710720202
2011-01-01,9.1,15351.448,0.17,16920.632,92.95614,1.4,2.27322625990496
2011-04-01,9.1,15557.539,0.1,17035.114,92.1938,1.4,2.24921919600376
2011-07-01,9.0,15647.68,0.07,17031.313,94.52098,1.5,2.5370313756665
2011-10-01,8.8,15842.259,0.07,17222.583,96.09072,1.5,2.02226514469577
2012-01-01,8.3,16068.805,0.08,17367.01,97.12308,1.5,3.19808928450254
2012-04-01,8.2,16207.115,0.14,17444.525,97.82763,1.6,2.2851338427891696
2012-07-01,8.2,16319.541,0.16,17469.65,98.44787,1.5,2.08371119432122
2012-10-01,7.8,16420.419,0.16,17489.852,100.07497,1.5,1.87504766315374
2013-01-01,8.0,16648.189,0.14,17662.4,100.73997,1.7,2.74180750368704
2013-04-01,7.6,16728.687,0.15,17709.671,100.05758,1.7,2.088884185994
2013-07-01,7.3,16953.838,0.09,17860.45,98.72797,1.7,2.00320004740069
2013-10-01,7.2,17192.019,0.09,18016.147,99.79118,1.7,1.16372929089217
2014-01-01,6.6,17197.738,0.07,17953.974,102.34617,1.7,2.40632650352188
2014-04-01,6.2,17518.508,0.09,18185.911,100.6513,1.8,2.21493222879676
2014-07-01,6.2,17804.228,0.09,18406.941,100.11145,1.9,2.4049038383757497
2014-10-01,5.7,17912.079,0.09,18500.031,101.2805,1.9,2.4289565511268
2015-01-01,5.7,18063.529,0.11,18666.621,100.49009,2.0,1.94752959883826
2015-04-01,5.4,18279.784,0.12,18782.243,99.30094,1.9,2.96265053867684
2015-07-01,5.2,18401.626,0.13,18857.418,98.63595,1.9,1.9220253006031696
2015-10-01,5.0,18435.137,0.12,18892.206,102.64192,2.0,2.28316449144805
